Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.,Date,Payload,Users
HTTP Request,889777,72,5,7,12,1031,1,30039,0.26%,821.6,139.1,793.61,1628451496,50,60
HTTP Request,17965,11924,15004,15010,15012,15016,1,30033,78.98%,16.4,4.5,6088.63,1628452956,50,200
HTTP Request,438518,149,2,4,6,1035,0,30037,0.87%,401.4,68.3,1408.93,1628789295,50,60
HTTP Request,21541,10059,15003,15008,15010,15014,0,30032,66.63%,19.7,5.0,7067.78,1628790849,50,200
HTTP Request,842000,77,2,3,5,1024,0,30048,0.40%,772.9,131.0,958.62,1629056269,50,60
HTTP Request,34385,6290,3,15007,15009,15013,0,30033,41.35%,31.5,7.0,7390.37,1629057889,50,200
HTTP Request,2933922,22,4,5,7,1019,1,8247,0.00%,2714.8,458.6,143.57,1629661056,50,60
HTTP Request,2768801,77,4,7,213,1239,1,30031,0.00%,2559.5,432.4,415.36,1629662570,50,200
HTTP Request,2685013,24,4,6,8,1019,1,6235,0.00%,2482.7,419.4,151.85,1630265796,50,60
HTTP Request,2563838,84,4,9,1005,1237,2,30032,0.01%,2370.2,400.5,430.20,1630267325,50,200
HTTP Request,538295,120,2,3,4,1025,0,30037,0.71%,491.9,83.6,1271.43,1631083066,0,60
HTTP Request,95136,2274,2,15003,15006,15011,0,30032,14.74%,87.2,16.5,5358.16,1631084540,0,200
HTTP Request,4286,15006,15006,15012,15014,15020,14999,15039,100.00%,3.9,1.1,4.05,1631475774,0,60
HTTP Request,56990,3762,3,15006,15009,15014,0,30032,24.46%,52.9,10.7,6485.52,1631477294,0,200
HTTP Request,4313,15006,15006,15011,15012,15015,14998,15020,100.00%,3.9,1.2,3.34,1632080494,0,60
HTTP Request,31371,6953,6,15008,15010,15014,1,30033,45.71%,28.3,6.5,7501.36,1632081996,0,200
HTTP Request,68970,948,3,9,15004,15012,1,30031,6.16%,63.0,11.1,3623.53,1632685293,0,60
HTTP Request,44044,4912,4,15007,15010,15013,1,30036,32.19%,40.5,8.5,7001.14,1632686848,0,200
HTTP Request,1717861,37,3,5,6,1020,1,30044,0.10%,1569.1,265.3,510.55,1633290193,0,60
HTTP Request,163770,1321,4,1032,15005,15010,1,30041,8.26%,149.1,26.8,4159.79,1633291705,0,200
HTTP Request,4310,15004,15004,15009,15011,15015,14997,15031,100.00%,4.0,1.2,3.59,1633894955,0,60
HTTP Request,57738,3724,3,15004,15006,15011,1,30031,24.22%,52.7,10.6,6459.53,1633896534,0,200
HTTP Request,470553,138,3,5,9,1036,0,30099,0.76%,432.4,73.5,1318.97,1635104455,0,60
